object,,start,start_sec,end,end_sec,duration,duration_sec
dice,,00:00.1,0.074,00:01.8,1.776,00:01.7,1.702
dice,,00:07.5,7.52,00:08.4,8.398,00:00.9,0.878
dice,,00:14.8,14.8,00:15.9,15.892,00:01.1,1.092
dice,,00:26.0,26.027,00:26.6,26.583,00:00.6,0.556
dice,,00:32.4,32.43,00:33.7,33.726,00:01.3,1.296
dice,,00:40.7,40.74,00:41.3,41.308,00:00.6,0.568
dice,,00:55.7,55.735,00:56.3,56.263,00:00.5,0.528
dice,,01:00.5,60.51,01:00.9,60.895,00:00.4,0.385
key,,00:02.2,2.189,00:03.6,3.562,00:01.4,1.373
key,,00:06.2,6.188,00:07.1,7.051,00:00.9,0.863
key,,00:20.3,20.269,00:21.3,21.35,00:01.1,1.081
key,,00:23.2,23.184,00:24.1,24.076,00:00.9,0.892
key,,00:34.0,33.958,00:35.0,34.972,00:01.0,1.014
key,,00:50.4,50.416,00:51.3,51.3,00:00.9,0.884
key,,00:53.8,53.827,00:55.0,55.009,00:01.2,1.182
map,,00:03.8,3.761,00:05.9,5.853,00:02.1,2.092
map,,00:21.6,21.551,00:22.7,22.748,00:01.2,1.197
map,,00:24.3,24.31,00:25.4,25.424,00:01.1,1.114
map,,00:35.3,35.346,00:36.3,36.266,00:00.9,0.92
map,,00:51.5,51.523,00:52.5,52.458,00:00.9,0.935
card,,00:11.2,11.161,00:12.3,12.347,00:01.2,1.186
card,,00:18.6,18.554,00:19.7,19.662,00:01.1,1.108
card,,00:29.6,29.569,00:30.9,30.927,00:01.4,1.358
card,,00:36.8,36.802,00:37.6,37.557,00:00.8,0.755
card,,00:45.1,45.125,00:46.2,46.195,00:01.1,1.07
card,,00:56.9,56.898,00:57.7,57.702,00:00.8,0.804
ball,,00:10.2,10.208,00:11.1,11.06,00:00.9,0.852
ball,,00:12.5,12.481,00:13.6,13.6,00:01.1,1.119
ball,,00:17.4,17.407,00:18.4,18.42,00:01.0,1.013
ball,,00:28.6,28.619,00:29.5,29.468,00:00.8,0.849
ball,,00:38.3,38.26,00:39.2,39.215,00:01.0,0.955
ball,,00:44.1,44.133,00:45.0,45.025,00:00.9,0.892
ball,,00:58.3,58.339,00:59.3,59.265,00:00.9,0.926
face,,00:08.9,8.901,00:09.8,9.772,00:00.9,0.871
face,,00:13.7,13.71,00:14.7,14.655,00:00.9,0.945
face,,00:16.1,16.102,00:17.2,17.206,00:01.1,1.104
face,,00:27.3,27.3,00:28.1,28.15,00:00.9,0.85
face,,00:31.0,31.016,00:32.2,32.229,00:01.2,1.213
face,,00:39.3,39.349,00:40.6,40.6,00:01.3,1.251
face,,00:46.3,46.329,00:47.5,47.522,00:01.2,1.193
face,,00:59.4,59.38,01:00.4,60.353,00:01.0,0.973
