object,,start,start_sec,end,end_sec,duration,duration_sec
dice,,00:00.4,0.402,00:02.0,2.03,00:01.6,1.628
dice,,00:28.8,28.795,00:31.1,31.118,00:02.3,2.323
dice,,00:34.4,34.408,00:37.6,37.617,00:03.2,3.209
dice,,00:53.9,53.909,00:57.5,57.46,00:03.6,3.551
dice,,01:13.5,73.489,01:15.4,75.399,00:01.9,1.91
dice,,01:36.7,96.704,01:38.9,98.916,00:02.2,2.212
dice,,01:49.5,109.456,01:50.8,110.821,00:01.4,1.365
dice,,02:01.9,121.879,02:03.2,123.174,00:01.3,1.295
dice,,02:03.7,123.696,02:04.0,123.964,00:00.3,0.268
dice,,02:10.0,130.043,02:11.6,131.579,00:01.5,1.536
dice,,02:19.0,138.964,02:21.1,141.083,00:02.1,2.119
dice,,02:48.6,168.645,02:50.3,170.256,00:01.6,1.611
dice,,03:13.9,193.866,03:15.5,195.542,00:01.7,1.676
key,,00:10.4,10.391,00:12.5,12.519,00:02.1,2.128
key,,00:31.3,31.319,00:34.3,34.274,00:03.0,2.955
key,,00:51.4,51.351,00:53.8,53.77,00:02.4,2.419
key,,01:17.8,77.775,01:20.0,79.991,00:02.2,2.216
key,,01:31.9,91.942,01:33.6,93.597,00:01.7,1.655
key,,01:50.9,110.924,01:54.3,114.287,00:03.4,3.363
key,,02:03.3,123.274,02:03.6,123.562,00:00.3,0.288
key,,02:07.6,127.585,02:09.9,129.909,00:02.3,2.324
key,,02:21.3,141.251,02:23.3,143.325,00:02.1,2.074
key,,02:32.9,152.89,02:34.7,154.711,00:01.8,1.821
key,,02:50.4,170.39,02:53.4,173.418,00:03.0,3.028
key,,03:05.5,185.484,03:08.7,188.661,00:03.2,3.177
map,,00:12.8,12.787,00:16.6,16.636,00:03.8,3.849
map,,00:43.3,43.29,00:46.2,46.173,00:02.9,2.883
map,,01:05.6,65.566,01:07.7,67.693,00:02.1,2.127
map,,01:28.2,88.176,01:31.7,91.728,00:03.6,3.552
map,,01:33.8,93.798,01:36.5,96.471,00:02.7,2.673
map,,01:54.5,114.455,01:58.1,118.129,00:03.7,3.674
map,,02:25.0,145.025,02:28.3,148.272,00:03.2,3.247
map,,02:30.1,150.1,02:32.7,152.655,00:02.6,2.555
map,,02:36.8,156.776,02:39.4,159.428,00:02.7,2.652
map,,03:01.3,181.301,03:04.2,184.16,00:02.9,2.859
ball,,00:07.1,7.078,00:09.2,9.23,00:02.2,2.152
ball,,00:17.3,17.297,00:19.8,19.755,00:02.5,2.458
ball,,00:48.7,48.72,00:51.0,50.958,00:02.2,2.238
ball,,01:03.7,63.693,01:05.3,65.298,00:01.6,1.605
ball,,01:21.2,81.151,01:22.8,82.81,00:01.7,1.659
ball,,01:42.2,102.209,01:44.7,104.678,00:02.5,2.469
ball,,01:58.3,118.309,02:01.0,121.009,00:02.7,2.7
ball,,02:04.4,124.437,02:07.4,127.436,00:03.0,2.999
ball,,02:28.5,148.532,02:29.9,149.917,00:01.4,1.385
ball,,02:39.7,159.696,02:41.9,161.886,00:02.2,2.19
ball,,02:53.7,173.653,02:56.6,176.642,00:03.0,2.989
ball,,02:59.0,178.952,03:01.0,181.033,00:02.1,2.081
card,,00:04.2,4.175,00:05.8,5.763,00:01.6,1.588
card,,00:21.3,21.296,00:23.4,23.399,00:02.1,2.103
card,,00:38.3,38.254,00:40.5,40.491,00:02.2,2.237
card,,00:46.8,46.81,00:48.6,48.558,00:01.7,1.748
card,,01:08.2,68.157,01:10.2,70.182,00:02.0,2.025
card,,01:24.4,84.352,01:26.1,86.065,00:01.7,1.713
card,,01:39.2,99.151,01:42.1,102.057,00:02.9,2.906
card,,01:46.9,106.919,01:49.3,109.27,00:02.4,2.351
card,,02:04.2,124.165,02:04.2,124.246,00:00.1,0.081
card,,02:13.8,133.811,02:17.1,137.076,00:03.3,3.265
card,,02:42.2,162.235,02:44.6,164.61,00:02.4,2.375
card,,03:11.5,191.454,03:13.5,193.531,00:02.1,2.077
face,,00:00.0,0,00:00.2,0.234,00:00.2,0.234
face,,00:02.2,2.164,00:04.0,4.007,00:01.8,1.843
face,,00:25.6,25.558,00:28.6,28.628,00:03.1,3.07
face,,00:40.6,40.625,00:43.1,43.123,00:02.5,2.498
face,,00:57.6,57.56,01:01.0,61.05,00:03.5,3.49
face,,01:15.6,75.556,01:17.6,77.641,00:02.1,2.085
face,,01:26.2,86.207,01:27.9,87.875,00:01.7,1.668
face,,01:44.8,104.845,01:46.7,106.668,00:01.8,1.823
face,,02:01.2,121.202,02:01.7,121.666,00:00.5,0.464
face,,02:11.7,131.679,02:13.5,133.543,00:01.9,1.864
face,,02:17.2,137.177,02:18.9,138.863,00:01.7,1.686
face,,02:34.8,154.845,02:36.4,156.441,00:01.6,1.596
face,,02:44.7,164.744,02:48.5,168.544,00:03.8,3.8
face,,02:56.8,176.775,02:58.8,178.751,00:02.0,1.976
face,,03:04.2,184.227,03:05.3,185.283,00:01.1,1.056
face,,03:08.8,188.829,03:10.7,190.689,00:01.9,1.86
face,,03:15.6,195.642,03:15.7,195.71,00:00.1,0.068
