object,,start,start_sec,end,end_sec,duration,duration_sec
face,,00:06.6,6.635,00:08.0,8.016,00:01.4,1.381
face,,00:12.1,12.118,00:12.9,12.9,00:00.8,0.782
face,,00:22.7,22.688,00:23.9,23.903,00:01.2,1.215
face,,00:33.2,33.221,00:34.5,34.538,00:01.3,1.317
face,,00:38.8,38.772,00:39.9,39.891,00:01.1,1.119
face,,00:48.7,48.673,00:49.6,49.588,00:00.9,0.915
face,,00:57.3,57.273,00:58.2,58.192,00:00.9,0.919
face,,01:00.1,60.052,01:01.3,61.304,00:01.3,1.252
dice,,00:00.1,0.1,00:02.0,1.976,00:01.9,1.876
dice,,00:10.8,10.778,00:11.8,11.797,00:01.0,1.019
dice,,00:19.5,19.534,00:20.5,20.486,00:01.0,0.952
dice,,00:31.7,31.74,00:32.7,32.719,00:01.0,0.979
dice,,00:40.1,40.056,00:41.2,41.174,00:01.1,1.118
dice,,00:46.0,46.047,00:46.7,46.666,00:00.6,0.619
dice,,00:58.4,58.357,00:59.8,59.841,00:01.5,1.484
key,,00:02.1,2.108,00:03.3,3.322,00:01.2,1.214
key,,00:13.1,13.098,00:14.3,14.315,00:01.2,1.217
key,,00:17.6,17.626,00:19.0,19.041,00:01.4,1.415
key,,00:20.6,20.616,00:22.0,22,00:01.4,1.384
key,,00:30.0,29.962,00:31.2,31.244,00:01.3,1.282
key,,00:41.3,41.306,00:42.8,42.821,00:01.5,1.515
key,,00:44.4,44.435,00:45.5,45.454,00:01.0,1.019
key,,00:46.8,46.798,00:48.1,48.08,00:01.3,1.282
key,,00:55.8,55.795,00:56.7,56.714,00:00.9,0.919
map,,00:03.5,3.487,00:04.7,4.737,00:01.3,1.25
map,,00:16.2,16.213,00:17.5,17.494,00:01.3,1.281
map,,00:28.0,27.954,00:29.4,29.401,00:01.4,1.447
map,,00:43.1,43.052,00:44.3,44.336,00:01.3,1.284
map,,00:54.0,53.996,00:55.4,55.408,00:01.4,1.412
ball,,00:08.6,8.639,00:09.2,9.164,00:00.5,0.525
ball,,00:24.1,24.068,00:25.6,25.615,00:01.5,1.547
ball,,00:34.9,34.931,00:35.9,35.88,00:00.9,0.949
ball,,00:37.5,37.459,00:38.7,38.674,00:01.2,1.215
ball,,00:50.1,50.114,00:50.9,50.934,00:00.8,0.82
card,,00:05.6,5.555,00:06.5,6.47,00:00.9,0.915
card,,00:14.7,14.704,00:15.8,15.821,00:01.1,1.117
card,,00:25.7,25.681,00:27.3,27.294,00:01.6,1.613
card,,00:36.0,35.979,00:37.4,37.36,00:01.4,1.381
card,,00:51.0,51.033,00:52.4,52.382,00:01.3,1.349
