object,,start,start_sec,end,end_sec,duration,duration_sec
dice,,00:01.7,1.744,00:03.8,3.818,00:02.1,2.074
dice,,00:17.0,16.971,00:18.8,18.845,00:01.9,1.874
dice,,00:32.4,32.387,00:34.6,34.593,00:02.2,2.206
dice,,00:49.5,49.534,00:51.6,51.576,00:02.0,2.042
dice,,01:08.0,67.954,01:10.8,70.753,00:02.8,2.799
dice,,01:18.2,78.158,01:19.7,79.669,00:01.5,1.511
dice,,01:29.8,89.827,01:31.6,91.603,00:01.8,1.776
dice,,01:46.6,106.567,01:48.3,108.337,00:01.8,1.77
dice,,02:10.7,130.747,02:13.3,133.348,00:02.6,2.601
dice,,02:35.7,155.699,02:37.0,156.941,00:01.3,1.307
key,,00:05.8,5.841,00:07.9,7.912,00:02.1,2.071
key,,00:14.3,14.314,00:16.3,16.349,00:02.0,2.035
key,,00:29.6,29.558,00:32.3,32.256,00:02.7,2.698
key,,00:47.2,47.17,00:49.4,49.439,00:02.3,2.269
key,,00:58.7,58.715,01:00.7,60.722,00:02.0,2.007
key,,01:06.4,66.411,01:07.8,67.824,00:01.4,1.413
key,,01:27.4,87.394,01:29.7,89.665,00:02.3,2.271
key,,01:48.5,108.502,01:50.9,110.905,00:02.4,2.403
key,,02:13.5,133.48,02:17.8,137.798,00:04.3,4.318
map,,00:08.3,8.341,00:10.3,10.314,00:02.0,1.973
map,,00:26.2,26.183,00:29.0,29.001,00:02.8,2.818
map,,00:44.2,44.245,00:47.0,47.01,00:02.8,2.765
map,,01:03.3,63.316,01:05.8,65.785,00:02.5,2.469
map,,01:24.5,84.541,01:25.8,85.814,00:01.3,1.273
map,,01:40.2,100.217,01:42.6,102.585,00:02.4,2.368
map,,01:51.1,111.068,01:53.3,113.3,00:02.2,2.232
map,,02:17.9,137.897,02:21.7,141.684,00:03.8,3.787
card,,00:12.3,12.28,00:14.0,14.021,00:01.7,1.741
card,,00:37.0,36.986,00:39.1,39.125,00:02.1,2.139
card,,00:41.5,41.548,00:44.0,44.017,00:02.5,2.469
card,,01:01.0,60.981,01:03.1,63.088,00:02.1,2.107
card,,01:21.7,81.71,01:24.3,84.346,00:02.6,2.636
card,,01:37.0,96.99,01:40.0,99.955,00:03.0,2.965
card,,01:53.8,113.828,01:57.2,117.155,00:03.3,3.327
card,,02:22.1,142.111,02:24.6,144.614,00:02.5,2.503
ball,,00:21.2,21.182,00:23.5,23.518,00:02.3,2.336
ball,,00:39.4,39.351,00:41.3,41.325,00:02.0,1.974
ball,,00:54.3,54.278,00:56.4,56.417,00:02.1,2.139
ball,,01:13.8,73.846,01:15.0,75.027,00:01.2,1.181
ball,,01:34.4,94.424,01:36.8,96.794,00:02.4,2.37
ball,,02:03.2,123.245,02:07.5,127.528,00:04.3,4.283
ball,,02:32.1,152.081,02:34.1,154.054,00:02.0,1.973
face,,00:00.0,0,00:01.6,1.612,00:01.6,1.612
face,,00:03.9,3.907,00:05.5,5.485,00:01.6,1.578
face,,00:10.4,10.442,00:12.2,12.184,00:01.7,1.742
face,,00:23.6,23.617,00:25.8,25.758,00:02.1,2.141
face,,00:35.0,34.984,00:36.8,36.758,00:01.8,1.774
face,,00:57.1,57.071,00:58.6,58.552,00:01.5,1.481
face,,01:10.9,70.885,01:13.3,73.256,00:02.4,2.371
face,,01:19.8,79.768,01:21.5,81.479,00:01.7,1.711
face,,01:31.7,91.728,01:34.0,93.965,00:02.2,2.237
face,,01:43.0,102.98,01:46.5,106.468,00:03.5,3.488
face,,01:57.8,117.844,02:03.0,122.985,00:05.1,5.141
face,,02:26.5,146.524,02:28.6,148.63,00:02.1,2.106
face,,02:28.8,148.762,02:31.8,151.792,00:03.0,3.03
